name,RN,principle,address,product
三洋紡,1472,陳和順,桃園廠、泰國廠,{}
三芳,1307,林孟經,高雄仁武廠、大陸東莞廠、越南廠、印尼廠,{}
三晃,1721,黃亭棣,台中太平、大里、大甲、桃園平鎮、彰化和美、南投南崗,{}
三洋電,1614,李文峰,新北市泰山廠,{}
三陽工業,2206,吳清源,新竹廠、新豐廠、越南廠、大陸廠,{}
三商電,2427,陳翔中,,{}
